Timestamp[nanosec],fx[px],fy[px],Frame No.,Exposure time[nanosec],Sensor frame duration[nanosec],Frame readout time[nanosec],ISO,Focal length,Focus distance,AF mode
5054343364672,2836.0657,2836.0657,45534,2898550,33333333,11896875,65,6.92,0.5117707,1
5054376659411,2836.0657,2836.0657,45535,2898550,33333333,11896875,65,6.92,0.5117707,1
5054409954151,2836.0657,2836.0657,45536,2898550,33333333,11896875,65,6.92,0.5117707,1
5054443248891,2836.0657,2836.0657,45537,2898550,33333333,11896875,65,6.92,0.5117707,1
5054476543578,2836.0657,2836.0657,45538,2898550,33333333,11896875,65,6.92,0.5117707,1
5054509838318,2836.0657,2836.0657,45539,2898550,33333333,11896875,65,6.92,0.5117707,1
5054543133057,2836.0657,2836.0657,45540,2898550,33333333,11896875,65,6.92,0.5117707,1
5054576427797,2836.0657,2836.0657,45541,2898550,33333333,11896875,65,6.92,0.5117707,1
5054609722484,2836.0657,2836.0657,45542,2898550,33333333,11896875,65,6.92,0.5117707,1
5054643017224,2836.0657,2836.0657,45543,2898550,33333333,11896875,65,6.92,0.5117707,1
5054676311964,2836.0657,2836.0657,45544,2898550,33333333,11896875,65,6.92,0.5117707,1
5054709606703,2836.0657,2836.0657,45545,2898550,33333333,11896875,65,6.92,0.5117707,1
5054742901391,2836.0657,2836.0657,45546,2898550,33333333,11896875,65,6.92,0.5117707,1
5054776196130,2836.0657,2836.0657,45547,2898550,33333333,11896875,65,6.92,0.5117707,1
5054809490870,2836.0657,2836.0657,45548,2898550,33333333,11896875,65,6.92,0.5117707,1
5054842785609,2836.0657,2836.0657,45549,2898550,33333333,11896875,65,6.92,0.5117707,1
5054876080297,2836.0657,2836.0657,45550,2898550,33333333,11896875,65,6.92,0.5117707,1
5054909375036,2836.0657,2836.0657,45551,2898550,33333333,11896875,65,6.92,0.5117707,1
5054942669776,2836.0657,2836.0657,45552,2898550,33333333,11896875,65,6.92,0.5117707,1
5054975964516,2836.0657,2836.0657,45553,2898550,33333333,11896875,65,6.92,0.5117707,1
5055009259203,2836.0657,2836.0657,45554,2898550,33333333,11896875,65,6.92,0.5117707,1
5055042553943,2836.0657,2836.0657,45555,2898550,33333333,11896875,65,6.92,0.5117707,1
5055075848682,2836.0657,2836.0657,45556,2898550,33333333,11896875,65,6.92,0.5117707,1
5055109143422,2836.0657,2836.0657,45557,2898550,33333333,11896875,65,6.92,0.5117707,1
5055142438109,2836.0657,2836.0657,45558,2898550,33333333,11896875,65,6.92,0.5117707,1
5055175732849,2836.0657,2836.0657,45559,2898550,33333333,11896875,65,6.92,0.5117707,1
5055209027589,2836.0657,2836.0657,45560,2898550,33333333,11896875,65,6.92,0.5117707,1
5055242322328,2836.0657,2836.0657,45561,2898550,33333333,11896875,65,6.92,0.5117707,1
5055275617016,2836.0657,2836.0657,45562,2898550,33333333,11896875,65,6.92,0.5117707,1
5055308911755,2836.0657,2836.0657,45563,2898550,33333333,11896875,65,6.92,0.5117707,1
5055342206495,2836.0657,2836.0657,45564,2898550,33333333,11896875,65,6.92,0.5117707,1
5055375501234,2836.0657,2836.0657,45565,2898550,33333333,11896875,65,6.92,0.5117707,1
5055408795922,2836.0657,2836.0657,45566,2898550,33333333,11896875,65,6.92,0.5117707,1
5055442090661,2836.0657,2836.0657,45567,2898550,33333333,11896875,65,6.92,0.5117707,1
5055475385401,2836.0657,2836.0657,45568,2898550,33333333,11896875,65,6.92,0.5117707,1
5055508680141,2836.0657,2836.0657,45569,2898550,33333333,11896875,65,6.92,0.5117707,1
5055541974828,2836.0657,2836.0657,45570,2898550,33333333,11896875,65,6.92,0.5117707,1
5055575269568,2836.0657,2836.0657,45571,2898550,33333333,11896875,65,6.92,0.5117707,1
5055608564307,2836.0657,2836.0657,45572,2898550,33333333,11896875,65,6.92,0.5117707,1
5055641859047,2836.0657,2836.0657,45573,2898550,33333333,11896875,65,6.92,0.5117707,1
5055675153734,2836.0657,2836.0657,45574,2898550,33333333,11896875,65,6.92,0.5117707,1
5055708448474,2836.0657,2836.0657,45575,2898550,33333333,11896875,65,6.92,0.5117707,1
5055741743214,2836.0657,2836.0657,45576,2898550,33333333,11896875,65,6.92,0.5117707,1
5055775037953,2836.0657,2836.0657,45577,2898550,33333333,11896875,65,6.92,0.5117707,1
5055808332641,2836.0657,2836.0657,45578,2898550,33333333,11896875,65,6.92,0.5117707,1
5055841627380,2836.0657,2836.0657,45579,2898550,33333333,11896875,65,6.92,0.5117707,1
